,GAME_ID,HALFTIME_HOME_FG,HALFTIME_HOME_FG_MISSES,HALFTIME_HOME_FG_PCT,HALFTIME_HOME_REBOUNDS,HALFTIME_VISITING_FG,HALFTIME_VISITING_FG_PCT,HALFTIME_VISITING_MISSES,HALFTIME_VISITING_REBOUNDS
619,21500620,41,39,0.5125,47,30,0.344827586207,57,42
620,21500621,40,42,0.487804878049,36,37,0.5,37,40
621,21500622,34,39,0.465753424658,31,40,0.56338028169,31,35
622,21500623,37,53,0.411111111111,51,36,0.4,54,49
623,21500624,47,44,0.516483516484,41,43,0.494252873563,44,52
624,21500625,26,47,0.356164383562,38,32,0.457142857143,38,39
625,21500626,41,41,0.5,40,36,0.473684210526,40,39
626,21500627,35,48,0.421686746988,48,41,0.422680412371,56,52
627,21500628,28,53,0.345679012346,53,32,0.395061728395,49,46
628,21500629,32,51,0.385542168675,47,31,0.449275362319,38,41
629,21500630,42,41,0.506024096386,34,32,0.477611940299,35,31
630,21500631,32,49,0.395061728395,39,34,0.453333333333,41,45
631,21500632,47,43,0.522222222222,38,36,0.423529411765,49,40
632,21500633,44,37,0.543209876543,37,42,0.5,42,33
633,21500634,29,63,0.315217391304,49,50,0.526315789474,45,55
634,21500635,42,52,0.446808510638,48,36,0.461538461538,42,52
635,21500636,38,44,0.463414634146,51,34,0.41975308642,47,34
636,21500637,38,55,0.408602150538,46,35,0.406976744186,51,52
637,21500638,32,58,0.355555555556,41,43,0.483146067416,46,59
638,21500639,41,53,0.436170212766,50,37,0.435294117647,48,43
639,21500640,41,41,0.5,47,36,0.45,44,35
640,21500641,45,40,0.529411764706,44,36,0.404494382022,53,44
641,21500642,34,44,0.435897435897,40,33,0.478260869565,36,37
642,21500643,33,59,0.358695652174,56,34,0.409638554217,49,42
643,21500644,32,49,0.395061728395,43,40,0.47619047619,44,43
644,21500645,44,46,0.488888888889,48,44,0.44,56,48
645,21500646,43,53,0.447916666667,46,38,0.426966292135,51,50
646,21500647,31,42,0.424657534247,24,43,0.573333333333,32,40
647,21500648,32,52,0.380952380952,42,43,0.565789473684,33,36
648,21500649,34,40,0.459459459459,41,33,0.407407407407,48,42
649,21500650,38,56,0.404255319149,42,39,0.458823529412,46,48
650,21500651,38,47,0.447058823529,33,42,0.477272727273,46,47
651,21500652,41,47,0.465909090909,50,42,0.451612903226,51,44
652,21500653,34,46,0.425,45,42,0.5,42,35
653,21500654,39,44,0.469879518072,36,29,0.386666666667,46,48
654,21500655,27,54,0.333333333333,49,29,0.376623376623,48,51
